Gud ,Gudsbevis,Teologi (katolsk version),Skrifter i nya testamentets kanon,Kristen etik,Apostlarna,De apostoliska fäderna,Kristendomshistoria,Bibelforskningen
Allsmäktig,Kosmologiska gudsbeviset,Bibeln och traditionen (apostolisk),Jakobs brev (cirka 1. 46-48 e.Kr.),Att vara rättvis,Andreas,Författaren till Didaché (skrivet ca 100),"c:a 36 Saulus omvänds till kristendomen, antar namnet Paulus",Tvåkällshypotesen
Fullkomligt god,Teleologiska gudsbeviset,Arvsynden,Galaterbrevet (48 e.Kr.),Att ha självkontroll,Simon Petrus,Klemens av Rom (?–ca 101),"49 Konciliet i Jerusalem (""Apostlamötet"")",Biblisk minimalism
,Moraliska gudsbeviset,Änglarnas fall (se Enoks bok),Markusevangeliet (cirka 50 e.Kr.),Att vara modig och att stå för sina åsikter,Jakob,Ignatios av Antiochia (ca 35–ca 108),62 Paulus lider martyrdöden i Rom (kan även ha varit 67),Biblisk maximalism
,Ontologiska gudsbeviset,Transubstationsläran,1 Thessalonikerbrevet (50 e.Kr.),Att vara generös ,Johannes,Författaren till Barnabasbrevet (skrivet ca 70–130),"67 Simon Petrus dör, och Linus efterträder honom som biskop av Rom (påve)",
,,Treenigheten,2 Thessalonikerbrevet (sent 50 eller tidigt 51 e.Kr.),,Filippos,Författaren till Hermas Herden (skrivet ca 130–140),68 Qumran förstörs av romerska soldater,
,,Dopet,1 Korinthierbrevet (sannolikt tidigt 55 e.Kr.),,Bartolomaios,Papias av Hierapolis (ca 70–ca 163),79 Anacletus I påve,
,,Konfirmationen,2 Korinthierbrevet (cirka ett år efter 1 Korinthierbrevet),,Matteus,"Polykarpos av Smyrna, lärjunge till aposteln Johannes (ca 69–ca 155)",ca 97 Aposteln Johannes lämnar ön Patmos där han skrivit Uppenbarelseboken,
,,Bot/bikten (tillsammans med syndernas förlåtelse),Romarbrevet (57 e.Kr.),,Tomas,,"ca 100 Aposteln Johannes, den siste kvarvarande av Jesu tolv apostlar, dör i Efesos",
,,De sjukas smörjelse,Filipperbrevet (någon gång mellan mitten av 50-talet),,Jakob,,170 Ett kyrkomöte i Mindre Asien uttalar sig mot montanismen,
,,Prästvigningen ,Efesierbrevet (tidigt 60-tal e.Kr.),,Judas Taddaios,,213 Förbundsarken kan ha förts till Etiopien,
,,Eukaristin,Kolosserbrevet (tidigt 60-tal e.Kr.),,Simon Ivraren,,254 Stefan I påve; särskilda kläder för präster införs,
,,Trosbekännelsen,Brevet till Filemon (tidigt 60-tal e.Kr.),,Judas Iskariot,,264 Kyrkomöte i Antiochia inleds,
,,Frälsning genom Kristus,1 Petrusbrevet (sannolikt 62-63 e.Kr.),,Knut den liderlige,,"325 Konstantin den store sammankallar kyrkomötet i Nicaea, det första ekumeniska konciliet",
,,Bön,1 Timoteusbrevet (tidigt eller mitten av 60-talet e.Kr.),,,,336 Det första kända firandet av den kristna julen den 25 december,
,,,Titusbrevet (sannolikt inte senare än mitten av 60-talet e.Kr.),,,,399 Augustinus skriver Bekännelser,
,,,Apostlagärningarna (mitten av 60-talet e.Kr.),,,,"431 Kyrkomötet i Efesos, det tredje ekumeniska konciliet",
,,,2 Petrusbrevet (kort 17. efter 65 e.Kr.),,,,520 Det första benediktinerklostret grundas i Monte Cassino,
,,,Lukasevangeliet (mitten eller slutet av 60-talet e.Kr.),,,,"535 Justinianus I, kejsare av Bysans utestänger judar från allmänna ämbeten",
,,,Judas brev (mitten eller slutet av 60-talet e.Kr.),,,,730 Ikonoklastiska striden,
,,,Hebreerbrevet (innan 70 e.Kr.),,,,1054 Romersk-katolska kyrkan och Ortodoxa kyrkan splittras i två helt separata kyrkor,
,,,Matteusevangeliet (innan 70 e.Kr.),,,,1095 Första korståget startar,
,,,2 Timoteusbrevet (cirka 67 e.Kr.),,,,1123 Första Laterankonciliet,
,,,Johannesevangeliet (cirka 80-85 e.Kr.),,,,1517 Martin Luther publicerar 95 teserna,
,,,1 Johannesbrevet (tidigt 90-tal e.Kr.),,,,1545 Tridentinska kyrkomötet inleds,
,,,2 Johannesbrevet (tidigt 90-tal e.Kr.),,,,1614-1648 - Trettioåriga kriget utkämpas i Centraleuropa,
,,,3 Johannesbrevet (tidigt 90-tal e.Kr.),,,,1865 Frälsningsarmén grundas,
,,,Uppenbarelseboken (95-96 e.Kr.),,,,1869 Första Vatikankonciliet,
,,,,,,,1929 Lateranfördraget signeras och Vatikanstaten upprättas,
,,,,,,,1948 Kyrkornas världsråd bildas,
,,,,,,,1962 Andra Vatikankonciliet inleds,
,,,,,,,2014 Antje Jackelén tillträder som Svenska kyrkans ärkebiskop,
,,,,,,,2017 Biskop Anders Arborelius utnämns till kardinal ,
